epoch,step,train_loss
0,49,0.06516910344362259
0,99,0.054388031363487244
0,149,0.06304385513067245
0,199,0.04961710050702095
0,249,0.050624195486307144
0,299,0.04966971278190613
0,349,0.05024716630578041
0,399,0.046384088695049286
0,449,0.05635787919163704
0,499,0.043907154351472855
0,549,0.04990417882800102
0,599,0.04994300752878189
0,649,0.047098513692617416
0,699,0.047193288803100586
0,749,0.045686133205890656
0,799,0.0464060939848423
0,849,0.05529071390628815
0,899,0.04577476903796196
0,949,0.04335084185004234
0,999,0.045077722519636154
0,1049,0.04418525472283363
0,1099,0.04128972813487053
0,1149,0.04423685371875763
0,1199,0.04262587055563927
0,1249,0.04153205826878548
0,1299,0.04692811146378517
0,1349,0.04607433080673218
0,1399,0.041954755783081055
0,1449,0.046603478491306305
0,1499,0.03926540166139603
0,1549,0.05036220699548721
0,1599,0.04379771649837494
0,1649,0.042411062866449356
0,1699,0.04500826448202133
0,1749,0.04677588865160942
0,1799,0.046644169837236404
0,1849,0.0380166657269001
